ProductoID,Categoria,Marca,Familia,Modelo,PrecioLista
P0001,Smartphones,HUAWEI,Galaxy S,Galaxy S Pro,19314.11
P0002,Smartphones,XIAOMI,Galaxy A,Galaxy A Plus,19202.37
P0003,Smartphones,HUAWEI,P Series,P Series Standard,4912.65
P0004,Smartphones,APPLE,Galaxy S,Galaxy S Pro,5061.3
P0005,Smartphones,XIAOMI,Reno,Reno Standard,3583.79
P0006,Smartphones,XIAOMI,P Series,P Series,18429.15
P0007,Smartphones,APPLE,Galaxy A,Galaxy A Lite,15963.85
P0008,Smartphones,SAMSUNG,Galaxy A,Galaxy A,12297.52
P0009,Smartphones,MOTOROLA,Galaxy A,Galaxy A Plus,24058.69
P0010,Smartphones,MOTOROLA,Galaxy S,Galaxy S Pro,11358.4
P0011,Smartphones,MOTOROLA,Redmi,Redmi Standard,8819.46
P0012,Smartphones,SAMSUNG,P Series,P Series Lite,14797.02
P0013,Smartphones,APPLE,Galaxy S,Galaxy S Standard,9449.92
P0014,Smartphones,HUAWEI,Reno,Reno Ultra,15701.75
P0015,Smartphones,HUAWEI,Galaxy S,Galaxy S Pro,17547.79
P0016,Smartphones,MOTOROLA,Galaxy S,Galaxy S Plus,22062.64
P0017,Smartphones,APPLE,Redmi,Redmi Lite,16985.06
P0018,Smartphones,MOTOROLA,Galaxy A,Galaxy A Ultra,10815.96
P0019,Smartphones,HUAWEI,Redmi,Redmi,23606.4
P0020,Smartphones,HUAWEI,Galaxy S,Galaxy S Standard,16969.52
P0021,Smartphones,OPPO,P Series,P Series Plus,6594.85
P0022,Smartphones,APPLE,Redmi,Redmi,18139.56
P0023,Smartphones,XIAOMI,P Series,P Series Ultra,21542.74
P0024,Smartphones,SAMSUNG,Galaxy A,Galaxy A Pro,20711.01
P0025,Smartphones,APPLE,Redmi,Redmi Pro,7641.62
P0026,Smartphones,OPPO,P Series,P Series Ultra,7677.78
P0027,Smartphones,APPLE,iPhone,iPhone,13094.74
P0028,Smartphones,MOTOROLA,Galaxy A,Galaxy A Plus,19389.76
P0029,Smartphones,OPPO,Redmi,Redmi,15860.89
P0030,Smartphones,OPPO,iPhone,iPhone Ultra,7825.06
P0031,Smartphones,XIAOMI,Reno,Reno Lite,5000.01
P0032,Smartphones,SAMSUNG,Galaxy S,Galaxy S Plus,16803.81
P0033,Smartphones,HUAWEI,iPhone,iPhone Standard,4397.61
P0034,Smartphones,APPLE,Reno,Reno Lite,14640.52
P0035,Smartphones,OPPO,Galaxy S,Galaxy S,18855.88
P0036,Smartphones,HUAWEI,Reno,Reno Ultra,19909.17
P0037,Smartphones,MOTOROLA,Galaxy S,Galaxy S Ultra,12564.84
P0038,Smartphones,APPLE,Galaxy S,Galaxy S,22268.76
P0039,Smartphones,MOTOROLA,Reno,Reno Plus,14169.0
