TiendaID,NombreTienda,Ciudad,Estado,Region
T001,Tienda Torreón Mall,Torreón,Coahuila,Norte
T002,Tienda Torreón Mall,Torreón,Coahuila,Norte
T003,Tienda Chihuahua Plaza,Chihuahua,Chihuahua,Norte
T004,Tienda Nogales Centro,Nogales,Sonora,Norte
T005,Tienda Hermosillo Plaza,Hermosillo,Sonora,Norte
T006,Tienda Chihuahua Centro,Chihuahua,Chihuahua,Norte
T007,Tienda Torreón Mall,Torreón,Coahuila,Norte
T008,Tienda Torreón Centro,Torreón,Coahuila,Norte
T009,Tienda Nogales Forum,Nogales,Sonora,Norte
T010,Tienda Saltillo Plaza,Saltillo,Coahuila,Norte
T011,Tienda Guadalupe Mall,Guadalupe,Nuevo León,Norte
T012,Tienda Nogales Centro,Nogales,Sonora,Norte
T013,Tienda Hermosillo Forum,Hermosillo,Sonora,Norte
T014,Tienda Hermosillo Centro,Hermosillo,Sonora,Norte
T015,Tienda Nogales Mall,Nogales,Sonora,Norte
T016,Tienda San Pedro Centro,San Pedro,Nuevo León,Norte
T017,Tienda Torreón Galerias,Torreón,Coahuila,Norte
T018,Tienda Guadalupe Mall,Guadalupe,Nuevo León,Norte
T019,Tienda Torreón Centro,Torreón,Coahuila,Norte
T020,Tienda Ciudad Juárez Forum,Ciudad Juárez,Chihuahua,Norte
T021,Tienda Monterrey Centro,Monterrey,Nuevo León,Norte
T022,Tienda Hermosillo Forum,Hermosillo,Sonora,Norte
T023,Tienda Chihuahua Galerias,Chihuahua,Chihuahua,Norte
T024,Tienda Torreón Plaza,Torreón,Coahuila,Norte
T025,Tienda Torreón Centro,Torreón,Coahuila,Norte
T026,Tienda Guanajuato Galerias,Guanajuato,Guanajuato,Centro
T027,Tienda San Juan del Río Centro,San Juan del Río,Querétaro,Centro
T028,Tienda Naucalpan Galerias,Naucalpan,Estado de México,Centro
T029,Tienda Guanajuato Galerias,Guanajuato,Guanajuato,Centro
T030,Tienda Coapa Centro,Coapa,CDMX,Centro
T031,Tienda San Juan del Río Forum,San Juan del Río,Querétaro,Centro
T032,Tienda Coapa Mall,Coapa,CDMX,Centro
T033,Tienda Coapa Galerias,Coapa,CDMX,Centro
T034,Tienda Santa Fe Mall,Santa Fe,CDMX,Centro
T035,Tienda San Juan del Río Galerias,San Juan del Río,Querétaro,Centro
T036,Tienda Santa Fe Forum,Santa Fe,CDMX,Centro
T037,Tienda Naucalpan Galerias,Naucalpan,Estado de México,Centro
T038,Tienda León Centro,León,Guanajuato,Centro
T039,Tienda Ecatepec Plaza,Ecatepec,Estado de México,Centro
T040,Tienda Querétaro Mall,Querétaro,Querétaro,Centro
T041,Tienda León Plaza,León,Guanajuato,Centro
T042,Tienda Coapa Centro,Coapa,CDMX,Centro
T043,Tienda Naucalpan Forum,Naucalpan,Estado de México,Centro
