VentaID,Fecha,TiendaID,ProductoID,Cantidad,PrecioUnitario,MontoTotal,Descuento
V0000001,2023-01-01,T087,P0058,1,5075.57,5075.57,29.4
V0000002,2023-01-01,T047,P0143,1,7033.99,7033.99,11.8
V0000003,2023-01-01,T069,P0068,1,5889.79,5889.79,11.1
V0000004,2023-01-01,T087,P0192,1,3921.17,3921.17,11.4
V0000005,2023-01-01,T048,P0164,1,2593.49,2593.49,7.0
V0000006,2023-01-01,T080,P0007,2,13275.18,26550.37,16.8
V0000007,2023-01-01,T029,P0157,1,4634.45,4634.45,19.1
V0000008,2023-01-01,T090,P0119,1,22737.6,22737.6,12.2
V0000009,2023-01-01,T006,P0036,2,18091.28,36182.55,9.1
V0000010,2023-01-01,T015,P0127,1,8047.28,8047.28,26.6
V0000011,2023-01-01,T050,P0035,1,15063.1,15063.1,20.1
V0000012,2023-01-01,T090,P0191,2,2614.15,5228.3,12.6
V0000013,2023-01-01,T094,P0191,1,2617.95,2617.95,12.4
V0000014,2023-01-01,T063,P0026,1,5514.83,5514.83,28.2
V0000015,2023-01-01,T005,P0072,1,7281.7,7281.7,6.5
V0000016,2023-01-01,T031,P0114,2,23641.33,47282.66,3.0
V0000017,2023-01-01,T048,P0176,1,3152.66,3152.66,29.3
V0000018,2023-01-01,T008,P0092,1,13938.64,13938.64,5.7
V0000019,2023-01-01,T059,P0032,1,15734.55,15734.55,6.4
V0000020,2023-01-01,T077,P0164,3,2746.82,8240.46,1.5
V0000021,2023-01-01,T032,P0086,3,11989.25,35967.76,23.6
V0000022,2023-01-01,T009,P0053,1,2633.11,2633.11,16.6
V0000023,2023-01-01,T028,P0151,1,4807.27,4807.27,7.0
V0000024,2023-01-01,T019,P0199,1,3332.72,3332.72,17.9
V0000025,2023-01-01,T019,P0071,3,15757.36,47272.07,16.2
V0000026,2023-01-01,T015,P0045,1,18954.23,18954.23,0.8
V0000027,2023-01-01,T046,P0004,1,4700.03,4700.03,7.1
V0000028,2023-01-01,T003,P0083,1,24381.9,24381.9,1.6
V0000029,2023-01-01,T054,P0190,1,2254.07,2254.07,22.4
V0000030,2023-01-01,T058,P0122,1,9288.68,9288.68,15.4
V0000031,2023-01-01,T058,P0028,1,13890.35,13890.35,28.4
V0000032,2023-01-01,T094,P0012,1,10948.4,10948.4,26.0
V0000033,2023-01-01,T039,P0134,1,6550.3,6550.3,28.9
V0000034,2023-01-01,T062,P0016,1,19241.22,19241.22,12.8
V0000035,2023-01-01,T063,P0028,1,16809.59,16809.59,13.3
V0000036,2023-01-01,T042,P0021,1,6464.9,6464.9,2.0
